256 192
0.052365 0.031575 0.332200
0.053496 0.030405 0.338894
0.053094 0.029054 0.334751
0.053503 0.027774 0.336311
0.052629 0.026434 0.328899
0.052138 0.025145 0.324200
0.052203 0.023874 0.323384
0.052483 0.022594 0.324051
0.052892 0.021294 0.325599
0.053044 0.020001 0.325364
0.053110 0.018714 0.324538
0.053090 0.017439 0.323123
0.053199 0.016146 0.322591
0.053352 0.014844 0.322351
0.053418 0.013555 0.321523
0.053614 0.012235 0.321569
0.053811 0.010909 0.321611
0.054007 0.009576 0.321649
0.054161 0.008251 0.321393
0.054359 0.006906 0.321423
0.054600 0.005539 0.321737
0.054842 0.004163 0.322045
0.055041 0.002797 0.322061
0.055284 0.001405 0.322359
0.055571 -0.000016 0.322935
0.055770 -0.001405 0.322937
0.055971 -0.002801 0.322934
0.056127 -0.004180 0.322645
0.056195 -0.005513 0.321788
0.056352 -0.006898 0.321495
0.056553 -0.008315 0.321479
0.056666 -0.009682 0.320899
0.056824 -0.011080 0.320597
0.056981 -0.012482 0.320292
0.057228 -0.013951 0.320541
0.057253 -0.015268 0.319397
0.057455 -0.016715 0.319361
0.057569 -0.018100 0.318770
0.057683 -0.019488 0.318177
0.057798 -0.020878 0.317582
0.058001 -0.022345 0.317534
0.058161 -0.023779 0.317208
0.058365 -0.025258 0.317152
0.058480 -0.026662 0.316549
0.058505 -0.027984 0.315402
0.058620 -0.029390 0.314797
0.058780 -0.030842 0.314460
0.058985 -0.032344 0.314390
0.059056 -0.033713 0.313510
0.059126 -0.035083 0.312631
0.059106 -0.036355 0.311218
0.058858 -0.037377 0.308478
0.058292 -0.038029 0.303890
0.057906 -0.038857 0.300379
0.057655 -0.039822 0.297675
0.057495 -0.040879 0.295507
0.057426 -0.042035 0.293871
0.057631 -0.043521 0.293811
0.057653 -0.044785 0.292702
0.057812 -0.046220 0.292376
0.058017 -0.047720 0.292306
0.058177 -0.049166 0.291974
0.058383 -0.050677 0.291897
0.058590 -0.052195 0.291816
0.058889 -0.053846 0.292245
0.059050 -0.055314 0.291897
0.059350 -0.056984 0.292315
0.059604 -0.058598 0.292470
0.059905 -0.060288 0.292873
