256 192
0.083945 0.100176 0.363672
0.086919 0.102205 0.375450
0.085940 0.099412 0.370934
0.086210 0.098121 0.371556
0.085508 0.095697 0.368193
0.085015 0.093534 0.365689
0.085285 0.092245 0.366312
0.085485 0.090868 0.366648
0.085823 0.089635 0.367548
0.086092 0.088315 0.368161
0.086154 0.086767 0.367925
0.086423 0.085431 0.368533
0.086484 0.083874 0.368294
0.086684 0.082453 0.368616
0.086745 0.080888 0.368375
0.086737 0.079255 0.367852
0.086867 0.077753 0.367889
0.086998 0.076245 0.367925
0.087197 0.074795 0.368238
0.087258 0.073214 0.367991
0.087389 0.071692 0.368022
0.087519 0.070164 0.368051
0.087580 0.068574 0.367801
0.087641 0.066981 0.367551
0.087771 0.065441 0.367576
0.087832 0.063842 0.367323
0.087963 0.062293 0.367346
0.087954 0.060636 0.366816
0.088085 0.059080 0.366836
0.088076 0.057420 0.366305
0.088068 0.055761 0.365774
0.088129 0.054148 0.365517
0.088259 0.052578 0.365533
0.088251 0.050915 0.365001
0.088312 0.049294 0.364742
0.088373 0.047672 0.364482
0.088434 0.046046 0.364221
0.088426 0.044380 0.363688
0.088417 0.042713 0.363155
0.088478 0.041082 0.362892
0.088539 0.039450 0.362629
0.088669 0.037848 0.362634
0.088730 0.036209 0.362369
0.088791 0.034568 0.362103
0.088851 0.032924 0.361836
0.088981 0.031307 0.361836
0.089042 0.029656 0.361568
0.089103 0.028004 0.361298
0.089164 0.026349 0.361027
0.089293 0.024715 0.361023
0.089423 0.023076 0.361016
0.089622 0.021455 0.361274
0.089683 0.019784 0.360999
0.089674 0.018093 0.360458
0.089804 0.016437 0.360446
0.090072 0.014809 0.360961
0.090201 0.013141 0.360945
0.090400 0.011482 0.361191
0.090460 0.009789 0.360908
0.090590 0.008106 0.360888
0.090788 0.006428 0.361127
0.090918 0.004733 0.361103
0.091047 0.003034 0.361077
0.091108 0.001322 0.360789
0.091306 -0.000380 0.361021
0.091435 -0.002095 0.360990
0.091634 -0.003811 0.361218
0.091832 -0.005535 0.361443
0.092030 -0.007267 0.361666
0.092091 -0.009004 0.361369
0.092289 -0.010748 0.361588
0.092556 -0.012503 0.362062
0.092616 -0.014254 0.361761
0.092814 -0.016019 0.361973
0.092943 -0.017785 0.361926
0.093072 -0.019555 0.361877
0.093339 -0.021350 0.362339
0.093537 -0.023144 0.362541
0.093597 -0.024921 0.362232
0.093795 -0.026727 0.362431
0.093855 -0.028512 0.362119
0.094122 -0.030346 0.362568
0.094251 -0.032157 0.362506
0.094311 -0.033954 0.362190
0.094439 -0.035773 0.362126
0.094637 -0.037618 0.362313
0.094766 -0.039448 0.362245
0.094964 -0.041307 0.362427
0.095092 -0.043148 0.362356
0.095290 -0.045020 0.362534
0.095419 -0.046873 0.362459
0.095616 -0.048759 0.362632
0.095882 -0.050682 0.363052
0.096011 -0.052553 0.362972
0.096208 -0.054462 0.363138
0.096337 -0.056345 0.363053
0.096603 -0.058301 0.363463
0.096869 -0.060267 0.363869
0.097135 -0.062244 0.364273
0.097194 -0.064116 0.363933
0.097254 -0.065990 0.363592
0.097382 -0.067908 0.363497
0.097442 -0.069789 0.363154
0.097570 -0.071715 0.363056
0.097699 -0.073646 0.362956
0.097689 -0.075491 0.362366
0.097337 -0.077102 0.360557
0.096710 -0.078508 0.357778
0.095602 -0.079546 0.353305
0.094494 -0.080544 0.348844
0.093524 -0.081606 0.344881
0.092829 -0.082846 0.341897
0.092409 -0.084278 0.339886
0.092400 -0.086028 0.339326
0.092597 -0.087949 0.339488
0.092726 -0.089819 0.339408
0.092648 -0.091516 0.338606
0.092571 -0.093211 0.337806
0.092563 -0.094965 0.337245
0.092623 -0.096782 0.336922
0.092614 -0.098538 0.336361
0.092674 -0.100359 0.336038
0.092802 -0.102249 0.335951
0.092862 -0.104076 0.335625
0.092991 -0.105975 0.335536
0.093119 -0.107879 0.335444
0.093316 -0.109859 0.335588
0.093376 -0.111701 0.335257
0.093641 -0.113769 0.335631
0.093633 -0.115544 0.335064
0.093692 -0.117396 0.334730
0.093684 -0.119172 0.334162
0.093606 -0.120870 0.333361
0.093735 -0.122806 0.333259
0.094000 -0.124911 0.333621
0.094060 -0.126776 0.333283
0.094119 -0.128645 0.332945
0.094248 -0.130601 0.332837
0.094444 -0.132649 0.332959
0.094709 -0.134792 0.333308
0.095180 -0.137213 0.334346
0.095445 -0.139380 0.334688
0.095778 -0.141649 0.335257
0.096112 -0.143930 0.335821
0.096445 -0.146223 0.336382
0.096710 -0.148434 0.336710
0.097043 -0.150751 0.337264
0.097513 -0.153277 0.338268
0.098051 -0.155919 0.339493
0.098384 -0.158280 0.340032
0.098648 -0.160552 0.340341
0.098571 -0.162319 0.339517
0.098425 -0.163979 0.338469
0.098074 -0.165318 0.336746
0.096833 -0.165258 0.332107
0.095525 -0.165046 0.327257
0.094012 -0.164459 0.321751
0.092362 -0.163596 0.315815
0.090713 -0.162673 0.309899
0.089132 -0.161804 0.304224
0.087483 -0.160763 0.298345
0.086518 -0.160816 0.294705
0.085826 -0.161300 0.291962
0.085272 -0.161995 0.289669
0.084307 -0.161956 0.286058
0.083479 -0.162123 0.282899
0.082651 -0.162259 0.279749
0.081892 -0.162489 0.276829
0.080997 -0.162443 0.273479
0.080169 -0.162490 0.270358
0.079274 -0.162381 0.267028
0.078515 -0.162494 0.264145
0.077347 -0.161806 0.259965
0.076521 -0.161727 0.256885
0.075762 -0.161750 0.254030
0.074936 -0.161613 0.250968
0.074110 -0.161445 0.247916
0.073420 -0.161519 0.245304
0.072731 -0.161567 0.242701
0.072042 -0.161591 0.240105
0.071421 -0.161729 0.237732
0.070732 -0.161703 0.235151
0.070043 -0.161654 0.232579
0.069286 -0.161436 0.229802
0.068802 -0.161767 0.227884
0.068181 -0.161790 0.225547
0.067425 -0.161498 0.222794
0.066873 -0.161621 0.220684
0.066253 -0.161576 0.218369
0.065735 -0.161733 0.216378
0.065183 -0.161796 0.214287
0.064802 -0.162221 0.212727
0.064319 -0.162402 0.210858
0.063836 -0.162565 0.208994
0.063353 -0.162710 0.207136
0.062836 -0.162759 0.205179
0.062284 -0.162710 0.203124
0.061802 -0.162801 0.201283
0.061251 -0.162714 0.199241
0.060632 -0.162443 0.196998
0.060183 -0.162561 0.195278
0.059667 -0.162496 0.193358
0.059082 -0.162247 0.191237
0.058498 -0.161976 0.189124
0.058015 -0.161938 0.187324
0.057499 -0.161797 0.185428
0.056881 -0.161381 0.183232
0.056433 -0.161373 0.181552
0.055985 -0.161349 0.179878
0.055572 -0.161397 0.178309
0.054988 -0.160989 0.176240
0.054744 -0.161448 0.175187
0.054399 -0.161630 0.173835
0.053917 -0.161439 0.172084
0.053504 -0.161412 0.170540
0.053057 -0.161279 0.168900
0.052644 -0.161221 0.167366
0.052264 -0.161241 0.165936
0.052055 -0.161714 0.165008
0.051642 -0.161616 0.163487
0.051331 -0.161786 0.162268
0.051054 -0.162040 0.161151
0.050744 -0.162189 0.159939
0.050399 -0.162230 0.158632
0.050088 -0.162355 0.157427
0.049743 -0.162372 0.156127
0.049501 -0.162671 0.155126
0.049292 -0.163060 0.154225
0.048880 -0.162845 0.152741
0.048535 -0.162815 0.151457
0.048157 -0.162672 0.150079
0.047813 -0.162616 0.148802
0.047468 -0.162548 0.147530
0.047124 -0.162468 0.146262
0.046678 -0.162066 0.144708
0.046300 -0.161855 0.143352
0.046092 -0.162152 0.142480
0.045816 -0.162232 0.141420
0.045608 -0.162513 0.140553
0.045400 -0.162787 0.139689
0.045395 -0.163694 0.139399
0.045323 -0.164387 0.138919
0.045081 -0.164536 0.137965
0.045076 -0.165438 0.137677
0.045038 -0.166231 0.137294
0.044932 -0.166802 0.136723
0.044860 -0.167480 0.136247
0.044753 -0.168045 0.135679
0.044681 -0.168717 0.135205
0.044541 -0.169162 0.134545
0.044130 -0.168697 0.133140
0.043787 -0.168445 0.131927
0.043511 -0.168409 0.130903
0.041677 -0.163073 0.125621
0.041029 -0.161717 0.123596
0.048547 -0.188351 0.143808
0.084227 0.101809 0.369076
0.086892 0.103480 0.379703
0.084691 0.099179 0.370047
0.085094 0.098055 0.371240
0.084333 0.095551 0.367593
0.084256 0.093865 0.366795
0.084591 0.092648 0.367699
0.084720 0.091189 0.367750
0.084917 0.089800 0.368083
0.085115 0.088404 0.368413
0.085312 0.087000 0.368740
0.085510 0.085589 0.369065
0.085638 0.084100 0.369106
0.085767 0.082606 0.369146
0.085828 0.081039 0.368904
0.085956 0.079537 0.368941
0.086017 0.077964 0.368697
0.086214 0.076516 0.369010
0.086274 0.074936 0.368764
0.086403 0.073414 0.368795
0.086532 0.071888 0.368824
0.086592 0.070298 0.368575
0.086789 0.068820 0.368879
0.086918 0.067279 0.368903
0.087046 0.065733 0.368926
0.087243 0.064236 0.369224
0.087303 0.062625 0.368968
0.087432 0.061064 0.368986
0.087492 0.059447 0.368728
0.087484 0.057779 0.368194
0.087544 0.056159 0.367935
0.087604 0.054536 0.367675
0.087664 0.052911 0.367414
0.087793 0.051327 0.367425
0.087921 0.049739 0.367435
0.087981 0.048103 0.367171
0.087973 0.046425 0.366634
0.087965 0.044747 0.366097
0.088093 0.043145 0.366102
0.088085 0.041464 0.365565
0.088281 0.039890 0.365838
0.088341 0.038240 0.365569
0.088538 0.036653 0.365838
0.088666 0.035027 0.365835
0.088726 0.033365 0.365563
0.088854 0.031730 0.365558
0.088982 0.030091 0.365551
0.089110 0.028446 0.365543
0.089238 0.026796 0.365533
0.089366 0.025142 0.365521
0.089494 0.023482 0.365508
0.089554 0.021796 0.365227
0.089682 0.020127 0.365212
0.089742 0.018435 0.364929
0.089938 0.016776 0.365175
0.089998 0.015075 0.364890
0.090126 0.013388 0.364868
0.090254 0.011696 0.364845
0.090381 0.009999 0.364819
0.090509 0.008297 0.364793
0.090501 0.006569 0.364240
0.090629 0.004860 0.364211
0.090756 0.003145 0.364180
0.090816 0.001419 0.363887
0.090944 -0.000304 0.363854
0.091003 -0.002036 0.363559
0.091131 -0.003768 0.363522
0.091259 -0.005505 0.363484
0.091386 -0.007247 0.363445
0.091514 -0.008994 0.363404
0.091778 -0.010750 0.363878
0.092041 -0.012516 0.364348
0.092305 -0.014291 0.364815
0.092364 -0.016060 0.364509
0.092424 -0.017831 0.364201
0.092551 -0.019613 0.364149
0.092611 -0.021390 0.363839
0.092738 -0.023181 0.363784
0.092933 -0.024988 0.363983
0.092993 -0.026777 0.363670
0.093052 -0.028567 0.363356
0.093179 -0.030377 0.363295
0.093307 -0.032191 0.363232
0.093434 -0.034010 0.363168
0.093561 -0.035834 0.363102
0.093688 -0.037663 0.363035
0.093747 -0.039475 0.362714
0.093943 -0.041336 0.362895
0.094002 -0.043156 0.362572
0.093993 -0.044952 0.361998
0.094188 -0.046830 0.362174
0.094315 -0.048686 0.362098
0.094442 -0.050548 0.362020
0.094569 -0.052414 0.361941
0.094628 -0.054254 0.361611
0.094823 -0.056162 0.361777
0.094950 -0.058043 0.361693
0.095213 -0.060001 0.362103
0.095204 -0.061821 0.361520
0.095331 -0.063717 0.361432
0.095322 -0.065540 0.360849
0.095381 -0.067403 0.360512
0.095507 -0.069311 0.360419
0.095566 -0.071180 0.360080
0.095625 -0.073052 0.359740
0.095413 -0.074744 0.358423
0.094928 -0.076242 0.356133
0.094173 -0.077529 0.352874
0.093214 -0.078641 0.348896
0.092526 -0.079921 0.345898
0.092043 -0.081331 0.343636
0.091763 -0.082882 0.342105
0.091686 -0.084587 0.341301
0.091609 -0.086289 0.340498
0.091533 -0.087989 0.339695
0.091592 -0.089803 0.339374
0.091651 -0.091618 0.339052
0.091643 -0.093376 0.338490
0.091702 -0.095196 0.338167
0.091829 -0.097081 0.338082
0.091956 -0.098971 0.337995
0.092082 -0.100866 0.337906
0.092209 -0.102767 0.337816
0.092336 -0.104672 0.337725
0.092395 -0.106512 0.337395
0.092522 -0.108426 0.337300
0.092513 -0.110201 0.336733
0.092572 -0.112050 0.336400
0.092699 -0.113975 0.336302
0.092758 -0.115829 0.335968
0.092749 -0.117610 0.335399
0.092808 -0.119468 0.335063
0.092935 -0.121408 0.334961
0.093061 -0.123353 0.334856
0.093120 -0.125221 0.334518
0.093247 -0.127175 0.334410
0.093306 -0.129049 0.334070
0.093365 -0.130926 0.333728
0.093627 -0.133066 0.334079
0.093888 -0.135215 0.334427
0.093947 -0.137107 0.334081
0.094141 -0.139182 0.334194
0.094268 -0.141173 0.334075
0.094529 -0.143355 0.334412
0.094588 -0.145265 0.334060
0.094714 -0.147272 0.333936
0.094908 -0.149381 0.334038
0.095102 -0.151497 0.334137
0.095364 -0.153720 0.334462
0.095558 -0.155853 0.334556
0.095684 -0.157891 0.334422
0.095675 -0.159729 0.333834
0.095328 -0.161045 0.332119
0.094507 -0.161612 0.328832
0.093687 -0.162149 0.325555
0.092800 -0.162548 0.322064
0.091845 -0.162805 0.318358
0.090891 -0.163028 0.314664
0.089733 -0.162880 0.310312
0.088171 -0.162014 0.304637
0.087082 -0.161888 0.300536
0.086128 -0.161954 0.296892
0.085107 -0.161868 0.293038
0.084153 -0.161862 0.289416
0.083267 -0.161941 0.286027
0.082449 -0.162108 0.282868
0.081699 -0.162366 0.279939
0.080948 -0.162597 0.277018
0.080131 -0.162677 0.273887
0.079245 -0.162601 0.270547
0.078428 -0.162619 0.267436
0.077611 -0.162608 0.264334
0.076726 -0.162438 0.261024
0.075842 -0.162235 0.257725
0.075092 -0.162263 0.254869
0.074411 -0.162396 0.252239
0.073729 -0.162504 0.249616
0.073047 -0.162588 0.247001
0.072366 -0.162646 0.244395
0.071685 -0.162680 0.241796
0.070936 -0.162550 0.238991
0.070322 -0.162673 0.236623
0.069574 -0.162490 0.233834
0.069028 -0.162708 0.231694
0.068415 -0.162763 0.229348
0.067802 -0.162795 0.227008
0.067189 -0.162804 0.224676
0.066643 -0.162939 0.222563
0.066098 -0.163054 0.220456
0.065485 -0.162998 0.218144
0.064940 -0.163072 0.216050
0.064462 -0.163279 0.214173
0.064018 -0.163545 0.212406
0.063506 -0.163640 0.210434
0.062962 -0.163637 0.208365
0.062349 -0.163457 0.206093
0.061771 -0.163335 0.203933
0.061227 -0.163271 0.201883
0.060682 -0.163187 0.199839
0.060205 -0.163246 0.198009
0.059728 -0.163287 0.196184
0.059150 -0.163064 0.194056
0.058606 -0.162902 0.192037
0.058096 -0.162804 0.190128
0.057619 -0.162772 0.188326
0.057042 -0.162467 0.186224
0.056498 -0.162227 0.184231
0.055988 -0.162053 0.182345
0.055579 -0.162122 0.180771
0.055069 -0.161913 0.178897
0.054660 -0.161949 0.177332
0.054184 -0.161793 0.175571
0.053776 -0.161799 0.174016
0.053232 -0.161429 0.172064
0.052824 -0.161402 0.170520
0.052348 -0.161178 0.168780
0.051940 -0.161120 0.167246
0.051532 -0.161047 0.165717
0.051157 -0.161052 0.164291
0.050715 -0.160856 0.162672
0.050341 -0.160832 0.161256
0.050033 -0.160985 0.160043
0.049693 -0.161031 0.158734
0.049419 -0.161258 0.157626
0.049045 -0.161183 0.156227
0.048805 -0.161485 0.155225
0.048565 -0.161778 0.154225
0.048191 -0.161668 0.152837
0.047817 -0.161543 0.151454
0.047544 -0.161705 0.150367
0.047136 -0.161455 0.148894
0.046796 -0.161392 0.147620
0.046422 -0.161215 0.146253
0.046015 -0.160921 0.144795
0.045541 -0.160407 0.143148
0.045301 -0.160601 0.142180
0.044995 -0.160577 0.141023
0.044722 -0.160648 0.139965
0.044416 -0.160603 0.138815
0.044277 -0.161078 0.138145
0.044139 -0.161548 0.137477
0.043866 -0.161583 0.136431
0.043728 -0.162041 0.135767
0.043589 -0.162493 0.135105
0.043451 -0.162941 0.134444
0.043312 -0.163383 0.133785
