256 192
0.123167 0.179053 0.402241
0.125596 0.180527 0.409974
0.124535 0.177092 0.406049
0.124448 0.175023 0.405377
0.124605 0.173287 0.405516
0.124112 0.170677 0.403495
0.124025 0.168619 0.402825
0.124263 0.166987 0.403233
0.124176 0.164929 0.402563
0.124495 0.163390 0.403238
0.124813 0.161842 0.403911
0.125051 0.160182 0.404314
0.125126 0.158316 0.404178
0.125283 0.156545 0.404311
0.125439 0.154769 0.404442
0.125677 0.153084 0.404839
0.125752 0.151202 0.404701
0.125908 0.149411 0.404828
0.126146 0.147707 0.405222
0.126221 0.145814 0.405081
0.126458 0.144097 0.405472
0.126615 0.142284 0.405595
0.126771 0.140467 0.405718
0.126927 0.138644 0.405839
0.127002 0.136731 0.405695
0.127240 0.134983 0.406079
0.127234 0.132981 0.405668
0.127390 0.131140 0.405786
0.127465 0.129215 0.405639
0.127540 0.127288 0.405491
0.127777 0.125511 0.405869
0.127853 0.123576 0.405720
0.128009 0.121713 0.405833
0.128084 0.119771 0.405682
0.128159 0.117827 0.405531
0.128234 0.115880 0.405380
0.128390 0.114000 0.405489
0.128465 0.112047 0.405336
0.128621 0.110158 0.405444
0.128858 0.108330 0.405812
0.129014 0.106429 0.405917
0.129089 0.104461 0.405761
0.129083 0.102429 0.405344
0.129239 0.100517 0.405447
0.129395 0.098600 0.405550
0.129632 0.096736 0.405910
0.129626 0.094694 0.405491
0.129782 0.092764 0.405591
0.129938 0.090828 0.405689
0.129932 0.088781 0.405269
0.130088 0.086838 0.405366
0.130244 0.084889 0.405461
0.130400 0.082935 0.405556
0.130475 0.080929 0.405392
0.130549 0.078920 0.405227
0.130786 0.076998 0.405576
0.130861 0.074982 0.405410
0.131017 0.073005 0.405500
0.131173 0.071024 0.405589
0.131328 0.069037 0.405676
0.131403 0.067006 0.405507
0.131478 0.064973 0.405338
0.131634 0.062974 0.405423
0.131709 0.060934 0.405252
0.131864 0.058926 0.405336
0.131939 0.056880 0.405164
0.132014 0.054832 0.404991
0.132250 0.052840 0.405326
0.132568 0.050870 0.405912
0.132724 0.048835 0.405990
0.132879 0.046795 0.406067
0.133035 0.044749 0.406142
0.133271 0.042722 0.406470
0.133427 0.040666 0.406543
0.133744 0.038646 0.407119
0.133738 0.036537 0.406687
0.133974 0.034483 0.407008
0.134130 0.032405 0.407077
0.134205 0.030306 0.406894
0.134441 0.028233 0.407212
0.134596 0.026140 0.407278
0.134752 0.024041 0.407343
0.134826 0.021927 0.407157
0.135063 0.019829 0.407469
0.135218 0.017715 0.407531
0.135373 0.015596 0.407592
0.135529 0.013472 0.407651
0.135765 0.011347 0.407958
0.135920 0.009211 0.408016
0.136076 0.007071 0.408072
0.136150 0.004925 0.407879
0.136305 0.002775 0.407934
0.136380 0.000622 0.407740
0.136454 -0.001533 0.407545
0.136529 -0.003690 0.407350
0.136603 -0.005850 0.407155
0.136678 -0.008013 0.406959
0.136752 -0.010178 0.406762
0.136907 -0.012356 0.406811
0.137063 -0.014538 0.406858
0.137137 -0.016714 0.406660
0.137211 -0.018892 0.406460
0.137366 -0.021087 0.406505
0.137441 -0.023271 0.406305
0.137515 -0.025458 0.406104
0.137751 -0.027685 0.406390
0.137825 -0.029879 0.406188
0.138061 -0.032118 0.406471
0.138216 -0.034343 0.406510
0.138291 -0.036549 0.406305
0.138284 -0.038732 0.405857
0.138359 -0.040942 0.405652
0.138514 -0.043182 0.405688
0.138749 -0.045455 0.405964
0.138985 -0.047737 0.406239
0.139059 -0.049963 0.406030
0.139214 -0.052224 0.406062
0.139369 -0.054491 0.406092
0.139363 -0.056692 0.405640
0.139437 -0.058930 0.405429
0.139592 -0.061208 0.405457
0.139505 -0.063374 0.404765
0.139256 -0.065457 0.403594
0.138927 -0.067492 0.402186
0.138517 -0.069474 0.400541
0.137865 -0.071311 0.398183
0.137213 -0.073127 0.395828
0.136157 -0.074691 0.392288
0.135102 -0.076222 0.388754
0.134289 -0.077867 0.385939
0.133557 -0.079537 0.383367
0.133147 -0.081390 0.381749
0.132979 -0.083389 0.380843
0.133054 -0.085546 0.380649
0.133048 -0.087649 0.380217
0.133203 -0.089866 0.380258
0.133277 -0.092030 0.380061
0.133432 -0.094256 0.380100
0.133749 -0.096608 0.380608
0.134065 -0.098970 0.381114
0.134300 -0.101279 0.381384
0.134536 -0.103595 0.381651
0.134852 -0.105985 0.382152
0.135088 -0.108319 0.382416
0.135243 -0.110591 0.382445
0.135478 -0.112939 0.382707
0.135795 -0.115364 0.383200
0.136111 -0.117800 0.383691
0.136507 -0.120319 0.384412
0.136823 -0.122776 0.384899
