256 192
0.269859 -0.212652 0.004963
0.258822 -0.202703 0.003047
0.265424 -0.211289 0.003264
0.263220 -0.210605 0.002422
0.259993 -0.208815 0.001468
0.258018 -0.208349 0.000662
0.257071 -0.208990 -0.000029
0.256322 -0.209853 -0.000701
0.255567 -0.210718 -0.001377
0.254403 -0.211139 -0.002098
0.253237 -0.211561 -0.002819
0.252267 -0.212205 -0.003523
0.250898 -0.212405 -0.004266
0.249332 -0.212382 -0.005027
0.247964 -0.212582 -0.005769
0.246402 -0.212558 -0.006529
0.245036 -0.212758 -0.007270
0.243477 -0.212734 -0.008028
0.241921 -0.212710 -0.008784
0.240746 -0.213133 -0.009510
0.239380 -0.213333 -0.010252
0.238014 -0.213532 -0.010993
0.236649 -0.213731 -0.011734
0.235468 -0.214155 -0.012464
0.234284 -0.214579 -0.013195
0.232734 -0.214554 -0.013947
0.231367 -0.214754 -0.014689
0.229820 -0.214728 -0.015440
0.228454 -0.214928 -0.016182
0.226911 -0.214902 -0.016931
0.225370 -0.214876 -0.017679
0.223831 -0.214849 -0.018426
0.222294 -0.214822 -0.019171
0.221106 -0.215247 -0.019904
0.219572 -0.215220 -0.020649
0.218210 -0.215418 -0.021388
0.216679 -0.215391 -0.022130
0.214982 -0.215136 -0.022874
0.213457 -0.215107 -0.023613
0.211934 -0.215078 -0.024351
0.210744 -0.215503 -0.025086
0.209223 -0.215474 -0.025823
0.207705 -0.215445 -0.026558
0.206350 -0.215642 -0.027293
0.204835 -0.215612 -0.028027
0.203482 -0.215810 -0.028762
0.202129 -0.216007 -0.029496
0.200461 -0.215748 -0.030224
0.198955 -0.215717 -0.030953
0.197450 -0.215685 -0.031681
0.195640 -0.215196 -0.032398
0.194295 -0.215392 -0.033128
0.192798 -0.215359 -0.033852
0.191304 -0.215326 -0.034575
0.189812 -0.215293 -0.035296
0.188174 -0.215029 -0.036008
0.186687 -0.214995 -0.036726
0.185203 -0.214960 -0.037443
0.183721 -0.214926 -0.038158
0.182242 -0.214890 -0.038873
0.180338 -0.214163 -0.039552
0.178725 -0.213896 -0.040250
0.177257 -0.213859 -0.040959
0.175791 -0.213822 -0.041666
0.174465 -0.214015 -0.042385
0.172730 -0.213515 -0.043062
0.170730 -0.212550 -0.043704
0.169279 -0.212511 -0.044403
0.168097 -0.212935 -0.045133
0.166912 -0.213359 -0.045865
0.165333 -0.213087 -0.046545
0.163758 -0.212814 -0.047223
0.162316 -0.212774 -0.047917
0.161004 -0.212965 -0.048629
0.160071 -0.213855 -0.049401
0.158630 -0.213814 -0.050094
0.157068 -0.213540 -0.050765
0.155510 -0.213265 -0.051433
0.154079 -0.213222 -0.052122
0.152650 -0.213180 -0.052809
0.151223 -0.213137 -0.053495
0.149798 -0.213093 -0.054179
0.148376 -0.213050 -0.054863
0.146956 -0.213006 -0.055545
0.145423 -0.212727 -0.056200
0.143895 -0.212448 -0.056852
0.142371 -0.212167 -0.057502
0.140964 -0.212122 -0.058177
0.139338 -0.211605 -0.058794
0.138047 -0.211794 -0.059495
0.136539 -0.211511 -0.060136
0.135036 -0.211228 -0.060774
0.133538 -0.210944 -0.061410
0.132149 -0.210896 -0.062076
0.130865 -0.211083 -0.062772
0.129480 -0.211034 -0.063436
0.127995 -0.210748 -0.064065
0.126515 -0.210462 -0.064691
0.125039 -0.210175 -0.065315
0.123764 -0.210361 -0.066007
0.122392 -0.210310 -0.066663
0.121022 -0.210258 -0.067318
0.119655 -0.210207 -0.067971
0.118290 -0.210155 -0.068624
0.116927 -0.210102 -0.069275
0.115567 -0.210050 -0.069925
0.114208 -0.209997 -0.070573
0.112764 -0.209705 -0.071180
0.111324 -0.209413 -0.071785
0.110061 -0.209597 -0.072470
0.108713 -0.209543 -0.073113
0.107283 -0.209249 -0.073712
0.105941 -0.209194 -0.074352
0.104601 -0.209138 -0.074991
0.103263 -0.209082 -0.075628
0.101848 -0.208786 -0.076219
0.100595 -0.208969 -0.076899
0.099264 -0.208912 -0.077533
0.097935 -0.208855 -0.078166
0.096609 -0.208797 -0.078797
0.095359 -0.208979 -0.079475
0.094109 -0.209162 -0.080154
0.092787 -0.209104 -0.080783
0.091538 -0.209286 -0.081461
0.090220 -0.209227 -0.082088
0.088972 -0.209409 -0.082765
0.087657 -0.209350 -0.083390
0.086410 -0.209532 -0.084067
0.085164 -0.209714 -0.084743
0.083917 -0.209896 -0.085420
0.082670 -0.210078 -0.086097
0.081423 -0.210260 -0.086774
0.080177 -0.210442 -0.087450
0.078812 -0.210139 -0.088014
0.077510 -0.210078 -0.088632
0.076153 -0.209773 -0.089191
0.074912 -0.209954 -0.089865
0.073563 -0.209649 -0.090420
0.072324 -0.209830 -0.091092
0.071085 -0.210011 -0.091765
0.069796 -0.209948 -0.092376
0.068458 -0.209640 -0.092925
0.067175 -0.209576 -0.093533
0.065940 -0.209757 -0.094203
0.064614 -0.209448 -0.094746
0.063337 -0.209383 -0.095351
0.062062 -0.209318 -0.095954
0.060789 -0.209252 -0.096556
0.059561 -0.209432 -0.097223
0.058251 -0.209120 -0.097756
0.056986 -0.209054 -0.098355
0.055722 -0.208987 -0.098952
0.054461 -0.208920 -0.099548
0.053202 -0.208852 -0.100142
0.051946 -0.208784 -0.100736
0.050692 -0.208716 -0.101328
0.049440 -0.208648 -0.101919
0.048222 -0.208826 -0.102580
0.047004 -0.209003 -0.103241
0.045756 -0.208934 -0.103830
0.044539 -0.209112 -0.104490
0.043295 -0.209042 -0.105077
0.042054 -0.208972 -0.105662
0.040790 -0.208654 -0.106171
0.039578 -0.208831 -0.106829
0.038365 -0.209008 -0.107487
0.037153 -0.209185 -0.108145
0.035940 -0.209362 -0.108803
0.034709 -0.209291 -0.109383
0.033498 -0.209468 -0.110040
0.032270 -0.209396 -0.110618
0.031044 -0.209323 -0.111195
0.029835 -0.209500 -0.111851
0.028639 -0.209926 -0.112589
0.027405 -0.209603 -0.113082
0.026186 -0.209530 -0.113654
0.024980 -0.209706 -0.114309
0.023773 -0.209882 -0.114964
0.022574 -0.210309 -0.115704
0.021360 -0.210235 -0.116274
0.020153 -0.210411 -0.116929
0.018942 -0.210336 -0.117498
0.017734 -0.210262 -0.118065
0.016528 -0.210186 -0.118631
0.015324 -0.210362 -0.119284
0.014121 -0.210538 -0.119938
0.012919 -0.210462 -0.120501
0.011717 -0.210637 -0.121154
0.010515 -0.210813 -0.121806
0.009313 -0.210988 -0.122459
0.008117 -0.210912 -0.123019
0.006924 -0.210835 -0.123578
0.005724 -0.211010 -0.124230
0.004524 -0.211185 -0.124881
0.003324 -0.211360 -0.125532
0.002136 -0.211282 -0.126088
0.000951 -0.211204 -0.126643
-0.000233 -0.211126 -0.127197
-0.001429 -0.211300 -0.127846
-0.002625 -0.211475 -0.128496
-0.003804 -0.211396 -0.129047
-0.004999 -0.211570 -0.129695
-0.006195 -0.211745 -0.130344
-0.007411 -0.212174 -0.131093
-0.008608 -0.212349 -0.131742
-0.009781 -0.212269 -0.132291
-0.010951 -0.212188 -0.132837
-0.012145 -0.212363 -0.133486
-0.013313 -0.212282 -0.134031
-0.014478 -0.212200 -0.134574
-0.015669 -0.212375 -0.135221
-0.016861 -0.212549 -0.135868
-0.018053 -0.212723 -0.136515
-0.019212 -0.212640 -0.137056
-0.020369 -0.212558 -0.137595
-0.021594 -0.212988 -0.138348
-0.022784 -0.213162 -0.138994
-0.023938 -0.213079 -0.139532
-0.025128 -0.213253 -0.140178
-0.026357 -0.213684 -0.140933
-0.027547 -0.213858 -0.141580
-0.028696 -0.213774 -0.142115
-0.029843 -0.213690 -0.142648
-0.030987 -0.213606 -0.143181
-0.032220 -0.214037 -0.143939
-0.033454 -0.214469 -0.144697
-0.034644 -0.214643 -0.145343
-0.035785 -0.214558 -0.145874
-0.036874 -0.214214 -0.146287
-0.038009 -0.214129 -0.146815
-0.039142 -0.214043 -0.147341
-0.040273 -0.213956 -0.147866
-0.041455 -0.214129 -0.148508
-0.042583 -0.214042 -0.149032
-0.043651 -0.213696 -0.149434
-0.044772 -0.213608 -0.149954
-0.045950 -0.213780 -0.150594
-0.047189 -0.214212 -0.151355
-0.048368 -0.214385 -0.151995
-0.049485 -0.214296 -0.152512
-0.050663 -0.214468 -0.153152
-0.051841 -0.214640 -0.153791
-0.053019 -0.214812 -0.154431
-0.054130 -0.214723 -0.154945
-0.055307 -0.214895 -0.155584
-0.056484 -0.215067 -0.156223
-0.057661 -0.215239 -0.156862
-0.058695 -0.214887 -0.157246
-0.059434 -0.213487 -0.157115
-0.060307 -0.212610 -0.157235
-0.061320 -0.212255 -0.157608
-0.062329 -0.211900 -0.157978
-0.063565 -0.212331 -0.158737
-0.064764 -0.212632 -0.159432
-0.065606 -0.211750 -0.159535
-0.068012 -0.215996 -0.162214
0.266235 -0.209347 0.005421
0.262146 -0.206678 0.004341
0.263503 -0.209746 0.003938
0.261102 -0.208841 0.003073
0.259536 -0.208818 0.002311
0.257767 -0.208574 0.001526
0.256818 -0.209215 0.000836
0.256067 -0.210078 0.000165
0.255108 -0.210721 -0.000531
0.253944 -0.211142 -0.001251
0.252777 -0.211564 -0.001971
0.251410 -0.211763 -0.002713
0.250043 -0.211963 -0.003455
0.248676 -0.212162 -0.004197
