256 192
0.283042 0.353973 0.829212
0.285553 0.353466 0.837084
0.285719 0.349883 0.837919
0.285166 0.345374 0.836592
0.284612 0.340870 0.835267
0.284597 0.337038 0.835559
0.283686 0.332097 0.833157
0.283134 0.327605 0.831834
0.282940 0.323549 0.831587
0.282745 0.319487 0.831338
0.282371 0.315210 0.830553
0.281820 0.310727 0.829231
0.280559 0.305432 0.825769
0.278945 0.299761 0.821242
0.277689 0.294523 0.817791
0.276435 0.289312 0.814345
0.275537 0.284515 0.811970
0.275169 0.280306 0.811196
0.274978 0.276286 0.810956
0.274786 0.272260 0.810714
0.274418 0.268046 0.809940
0.273874 0.263652 0.808634
0.272981 0.258906 0.806269
0.271913 0.254001 0.803376
0.270848 0.249117 0.800488
0.269959 0.244424 0.798132
0.268897 0.239579 0.795251
0.268185 0.235084 0.793429
0.267995 0.231088 0.793193
0.267632 0.226926 0.792428
0.266921 0.222450 0.790610
0.266558 0.218294 0.789846
0.266022 0.213985 0.788557
0.265487 0.209682 0.787269
0.264951 0.205384 0.785981
0.264589 0.201235 0.785219
0.264055 0.196945 0.783933
0.263521 0.192660 0.782648
0.263159 0.188517 0.781886
0.262797 0.184374 0.781125
0.262435 0.180230 0.780364
0.261902 0.175958 0.779081
0.261370 0.171692 0.777799
0.260667 0.167307 0.775998
0.259966 0.162933 0.774199
0.259265 0.158569 0.772402
0.258565 0.154216 0.770606
0.257866 0.149873 0.768812
0.257338 0.145651 0.767539
0.256641 0.141326 0.765749
0.255944 0.137012 0.763960
0.255418 0.132811 0.762691
0.254723 0.128515 0.760906
0.254029 0.124230 0.759123
0.253504 0.120049 0.757857
0.252812 0.115782 0.756077
0.252289 0.111615 0.754814
0.251765 0.107452 0.753551
0.251409 0.103380 0.752803
0.250887 0.099225 0.751542
0.250198 0.094997 0.749769
0.249344 0.090703 0.747487
0.248823 0.086573 0.746230
0.248137 0.082376 0.744464
0.247618 0.078258 0.743209
0.247099 0.074146 0.741956
0.246415 0.069975 0.740194
0.245897 0.065876 0.738943
0.245215 0.061723 0.737184
0.244534 0.057582 0.735428
0.243689 0.053397 0.733166
0.243010 0.049279 0.731413
0.242496 0.045219 0.730169
0.241818 0.041119 0.728420
0.241305 0.037071 0.727179
0.240629 0.032990 0.725434
0.239791 0.028881 0.723185
0.239117 0.024823 0.721444
0.238444 0.020775 0.719705
0.237934 0.016767 0.718470
0.237263 0.012738 0.716734
0.236754 0.008743 0.715503
0.236246 0.004753 0.714272
0.235899 0.000787 0.713543
0.235553 -0.003179 0.712814
0.235046 -0.007159 0.711585
0.234700 -0.011122 0.710857
0.234353 -0.015085 0.710129
0.233847 -0.019054 0.708902
0.233501 -0.023015 0.708174
0.233315 -0.026975 0.707944
0.232969 -0.030938 0.707216
0.232941 -0.034911 0.707482
0.232753 -0.038887 0.707249
0.232565 -0.042868 0.707016
0.232377 -0.046854 0.706781
0.232188 -0.050845 0.706545
0.232157 -0.054860 0.706803
0.232125 -0.058885 0.707059
0.232092 -0.062920 0.707314
0.231900 -0.066940 0.707073
0.231708 -0.070966 0.706831
0.231830 -0.075058 0.707572
0.231637 -0.079099 0.707328
0.231600 -0.083182 0.707573
0.231561 -0.087274 0.707817
0.231366 -0.091336 0.707568
0.231171 -0.095403 0.707319
0.230819 -0.099429 0.706579
0.230623 -0.103505 0.706328
0.230581 -0.107636 0.706565
0.230384 -0.111725 0.706311
0.230186 -0.115818 0.706057
0.230142 -0.119976 0.706289
0.229943 -0.124082 0.706032
0.229898 -0.128259 0.706260
0.229698 -0.132378 0.706001
0.229497 -0.136503 0.705741
0.229450 -0.140705 0.705964
0.229248 -0.144843 0.705702
0.229046 -0.148986 0.705439
0.228843 -0.153134 0.705174
0.228488 -0.157204 0.704426
0.228132 -0.161275 0.703679
0.227625 -0.165257 0.702449
0.227118 -0.169233 0.701221
0.226914 -0.173392 0.700954
0.226559 -0.177460 0.700207
0.226657 -0.181823 0.700899
0.227206 -0.186507 0.703025
0.227301 -0.190910 0.703709
0.223784 -0.192772 0.692913
0.218925 -0.193541 0.677838
0.213630 -0.193819 0.661359
0.208799 -0.194267 0.646343
0.203982 -0.194559 0.631355
0.199328 -0.194813 0.616872
0.194836 -0.195039 0.602892
0.190655 -0.195368 0.589889
0.186782 -0.195816 0.577860
0.182921 -0.196138 0.565853
0.179218 -0.196468 0.554343
0.175674 -0.196814 0.543328
0.172140 -0.197044 0.532334
0.168617 -0.197159 0.521361
0.165250 -0.197303 0.510881
0.162040 -0.197483 0.500892
0.159279 -0.198003 0.492334
0.156819 -0.198736 0.484732
0.154220 -0.199238 0.476675
0.151628 -0.199655 0.468633
0.149189 -0.200148 0.461076
0.146611 -0.200402 0.453064
0.144332 -0.200900 0.446003
0.141623 -0.200825 0.437555
0.139212 -0.200999 0.430056
0.136880 -0.201181 0.422804
0.134194 -0.200852 0.414402
0.132020 -0.201053 0.407645
0.130140 -0.201543 0.401830
0.128482 -0.202246 0.396723
0.126684 -0.202713 0.391161
0.124676 -0.202840 0.384915
0.122531 -0.202713 0.378218
0.120321 -0.202418 0.371303
0.118402 -0.202441 0.365325
0.116489 -0.202401 0.359359
0.114724 -0.202500 0.353865
0.112963 -0.202540 0.348382
0.111279 -0.202627 0.343139
0.109882 -0.203075 0.338825
0.108418 -0.203373 0.334290
0.107171 -0.203944 0.330452
0.105574 -0.203936 0.325475
0.104052 -0.203985 0.320737
0.102676 -0.204206 0.316465
0.101303 -0.204383 0.312201
0.100283 -0.205082 0.309086
0.099266 -0.205749 0.305977
0.098253 -0.206385 0.302873
0.097311 -0.207107 0.300002
0.096303 -0.207682 0.296910
0.095297 -0.208226 0.293823
0.093185 -0.206799 0.287116
0.091495 -0.206035 0.281781
0.089741 -0.205089 0.276230
0.088061 -0.204208 0.270916
0.086593 -0.203648 0.266290
0.085060 -0.202912 0.261447
0.083737 -0.202510 0.257289
0.082829 -0.202846 0.254490
0.081992 -0.203284 0.251920
0.081090 -0.203564 0.249131
0.080325 -0.204083 0.246795
0.079427 -0.204308 0.244016
0.078328 -0.204093 0.240571
0.077029 -0.203428 0.236462
0.075733 -0.202718 0.232361
0.074644 -0.202386 0.228938
0.073895 -0.202728 0.226635
0.072812 -0.202329 0.223223
0.071799 -0.202039 0.220041
0.070722 -0.201568 0.216643
0.069649 -0.201061 0.213251
0.069113 -0.201706 0.211639
0.068112 -0.201287 0.208481
0.067380 -0.201438 0.206213
0.066916 -0.202175 0.204833
0.065856 -0.201516 0.201469
0.064931 -0.201129 0.198554
0.064208 -0.201181 0.196304
0.063817 -0.201998 0.195158
0.062899 -0.201533 0.192257
0.062643 -0.202639 0.191556
0.061269 -0.200992 0.187129
0.060491 -0.200762 0.184683
0.059846 -0.200835 0.182678
0.059202 -0.200886 0.180677
0.058887 -0.201751 0.179772
0.058116 -0.201431 0.177341
0.057804 -0.202272 0.176440
0.057296 -0.202592 0.174888
0.056434 -0.201950 0.172144
0.055671 -0.201538 0.169730
0.055202 -0.201886 0.168298
0.054959 -0.202835 0.167625
0.054234 -0.202450 0.165332
0.053865 -0.203022 0.164231
0.053336 -0.203134 0.162592
0.052712 -0.202957 0.160634
0.051931 -0.202303 0.158140
0.051662 -0.203092 0.157373
0.050726 -0.201931 0.154351
0.050459 -0.202693 0.153588
0.050226 -0.203543 0.152935
0.049485 -0.202875 0.150568
0.048874 -0.202562 0.148635
0.048548 -0.203090 0.147666
0.048318 -0.203899 0.147020
0.047805 -0.203828 0.145415
0.047513 -0.204424 0.144559
0.047128 -0.204718 0.143385
0.046775 -0.205099 0.142319
0.046611 -0.206068 0.141892
0.046509 -0.207235 0.141678
0.046314 -0.208099 0.141146
0.046243 -0.209365 0.141038
0.045459 -0.208279 0.138499
0.045173 -0.208813 0.137654
0.045320 -0.210790 0.138287
0.045312 -0.212255 0.138391
0.044780 -0.211940 0.136706
0.045049 -0.214353 0.137757
0.043691 -0.211150 0.133243
0.041635 -0.205433 0.126328
0.047098 -0.226096 0.145182
0.284504 0.359620 0.841675
0.286806 0.358822 0.848996
0.284646 0.352187 0.842799
0.284803 0.348565 0.843626
0.284604 0.344477 0.843373
0.283872 0.339716 0.841503
0.283319 0.335186 0.840173
0.282411 0.330226 0.837768
0.281682 0.325497 0.835903
0.280777 0.320565 0.833504
0.280226 0.316069 0.832180
0.279323 0.311164 0.829785
0.278246 0.306070 0.826858
0.277522 0.301401 0.825005
