256 192
0.074405 0.083585 0.334715
0.074323 0.082285 0.333834
0.073949 0.080813 0.331790
0.074890 0.080112 0.334981
0.073200 0.077905 0.327719
0.072606 0.076349 0.324823
0.072963 0.075314 0.325691
0.073173 0.074193 0.325978
0.073457 0.073101 0.326548
0.073594 0.071929 0.326540
0.073658 0.070719 0.326244
0.073868 0.069572 0.326518
0.073786 0.068291 0.325646
0.073923 0.067104 0.325631
0.074133 0.065942 0.325899
0.074197 0.064717 0.325594
0.074334 0.063516 0.325573
0.074544 0.062336 0.325832
0.074608 0.061100 0.325523
0.074818 0.059909 0.325776
0.074809 0.058644 0.325183
0.074946 0.057421 0.325151
0.075010 0.056173 0.324836
0.075219 0.054961 0.325080
0.075283 0.053706 0.324762
0.075347 0.052449 0.324444
0.075265 0.051159 0.323568
0.075475 0.049929 0.323803
0.075538 0.048665 0.323481
0.075456 0.047375 0.322605
0.075374 0.046087 0.321730
0.075511 0.044830 0.321682
0.075866 0.043594 0.322456
0.076075 0.042332 0.322677
0.076430 0.041074 0.323441
0.076421 0.039781 0.322834
0.075975 0.038465 0.320592
0.075893 0.037177 0.319717
0.075884 0.035891 0.319114
0.076311 0.034608 0.320137
0.076156 0.033317 0.318990
0.075929 0.032034 0.317576
0.075629 0.030761 0.315896
0.075401 0.029492 0.314488
0.076265 0.028147 0.317107
0.076910 0.026794 0.318909
0.077483 0.025428 0.320434
0.078128 0.024034 0.322217
0.077973 0.022732 0.321065
0.077164 0.021538 0.317527
0.076282 0.020381 0.313735
0.076273 0.019088 0.313129
0.076990 0.017646 0.315160
0.076981 0.016341 0.314548
0.077698 0.014863 0.316562
0.078052 0.013455 0.317255
0.078333 0.012054 0.317681
0.078542 0.010664 0.317842
0.078823 0.009246 0.318260
0.078813 0.007911 0.317634
0.078731 0.006600 0.316748
0.079085 0.005139 0.317417
0.079002 0.003825 0.316530
0.079501 0.002293 0.317706
0.080217 0.000657 0.319646
0.080715 -0.000912 0.320806
0.080415 -0.002154 0.319140
0.079970 -0.003322 0.316968
0.080396 -0.004878 0.317863
0.080676 -0.006379 0.318242
0.080884 -0.007854 0.318363
0.081237 -0.009409 0.318987
0.080937 -0.010632 0.317330
0.080782 -0.011925 0.316182
0.080990 -0.013416 0.316295
0.081125 -0.014872 0.316154
0.081260 -0.016332 0.316011
0.081033 -0.017577 0.314614
0.080951 -0.018906 0.313720
0.081303 -0.020510 0.314322
0.082742 -0.022839 0.318644
0.082805 -0.024290 0.318235
0.081925 -0.025094 0.314609
0.082205 -0.026687 0.314944
0.082630 -0.028394 0.315769
0.082692 -0.029848 0.315357
0.082972 -0.031468 0.315681
0.083251 -0.033097 0.316000
0.083675 -0.034849 0.316802
0.083810 -0.036383 0.316624
0.084017 -0.037981 0.316687
0.084151 -0.039525 0.316504
0.084213 -0.041013 0.316077
0.084276 -0.042503 0.315649
0.084410 -0.044059 0.315461
0.084544 -0.045620 0.315270
0.084751 -0.047252 0.315317
0.084741 -0.048688 0.314644
0.084803 -0.050193 0.314208
0.084792 -0.051631 0.313534
0.085071 -0.053352 0.313810
0.085206 -0.054939 0.313607
0.085195 -0.056384 0.312930
0.085329 -0.057977 0.312724
0.085102 -0.059198 0.311339
0.084947 -0.060488 0.310192
0.084865 -0.061851 0.309282
0.084927 -0.063370 0.308840
0.084555 -0.064411 0.306999
0.084617 -0.065928 0.306558
0.084896 -0.067694 0.306812
0.085030 -0.069303 0.306599
0.085020 -0.070746 0.305922
0.085154 -0.072362 0.305706
0.085432 -0.074157 0.305947
0.085638 -0.075872 0.305955
0.085916 -0.077684 0.306188
0.086122 -0.079415 0.306189
0.086472 -0.081336 0.306641
0.086606 -0.082990 0.306407
0.086956 -0.084932 0.306851
0.087018 -0.086503 0.306384
0.087151 -0.088173 0.306142
0.087429 -0.090044 0.306348
0.087491 -0.091627 0.305876
0.087696 -0.093412 0.305851
0.087758 -0.095003 0.305376
0.087891 -0.096697 0.305123
0.087952 -0.098293 0.304645
0.088158 -0.100101 0.304609
0.088219 -0.101704 0.304128
0.088280 -0.103309 0.303646
0.088414 -0.105025 0.303383
0.088547 -0.106746 0.303117
0.088752 -0.108581 0.303069
0.088885 -0.110312 0.302798
0.089091 -0.112161 0.302744
0.089224 -0.113902 0.302469
0.089501 -0.115878 0.302625
0.089562 -0.117515 0.302128
0.089695 -0.119272 0.301845
0.089756 -0.120914 0.301346
0.089889 -0.122679 0.301060
0.090022 -0.124448 0.300771
0.090155 -0.126223 0.300481
0.090215 -0.127878 0.299975
0.090348 -0.129660 0.299681
0.090409 -0.131321 0.299172
0.090470 -0.132985 0.298663
0.090603 -0.134779 0.298363
0.090592 -0.136319 0.297640
0.090581 -0.137860 0.296918
0.090642 -0.139531 0.296405
0.090415 -0.140675 0.295056
0.090260 -0.141945 0.293918
0.089890 -0.142806 0.292161
0.089377 -0.143384 0.289995
0.088648 -0.143533 0.287217
0.087847 -0.143520 0.284245
0.087047 -0.143482 0.281284
0.086318 -0.143558 0.278541
0.085375 -0.143186 0.275195
0.084503 -0.142927 0.272068
0.083847 -0.143072 0.269563
0.083048 -0.142906 0.266663
0.082177 -0.142567 0.263572
0.081593 -0.142791 0.261301
0.080794 -0.142550 0.258436
0.079995 -0.142283 0.255582
0.079268 -0.142142 0.252941
0.078541 -0.141978 0.250310
0.077887 -0.141944 0.247889
0.077232 -0.141889 0.245478
0.076434 -0.141501 0.242682
0.075851 -0.141559 0.240489
0.075125 -0.141281 0.237911
0.074615 -0.141459 0.235933
0.073889 -0.141138 0.233375
0.073235 -0.140956 0.231024
0.072510 -0.140590 0.228488
0.072000 -0.140693 0.226544
0.071418 -0.140615 0.224415
0.070908 -0.140684 0.222487
0.070326 -0.140569 0.220375
0.069817 -0.140604 0.218463
0.069236 -0.140454 0.216368
0.068762 -0.140541 0.214567
0.068431 -0.140957 0.213153
0.067886 -0.140843 0.211176
0.067484 -0.141060 0.209585
0.067011 -0.141089 0.207811
0.066574 -0.141191 0.206139
0.066065 -0.141101 0.204286
0.065699 -0.141353 0.202813
0.065154 -0.141143 0.200881
0.064717 -0.141188 0.199236
0.064280 -0.141218 0.197597
0.063879 -0.141326 0.196057
0.063443 -0.141329 0.194431
0.062935 -0.141132 0.192628
0.062534 -0.141200 0.191107
0.062026 -0.140972 0.189319
0.061554 -0.140823 0.187629
0.061046 -0.140563 0.185856
0.060646 -0.140574 0.184361
0.060174 -0.140380 0.182692
0.059809 -0.140462 0.181300
0.059338 -0.140239 0.179644
0.058902 -0.140100 0.178085
0.058538 -0.140144 0.176711
0.058102 -0.139978 0.175164
0.057738 -0.139997 0.173801
0.057374 -0.140005 0.172443
0.057082 -0.140204 0.171267
0.056825 -0.140496 0.170183
0.056390 -0.140267 0.168665
0.055919 -0.139921 0.167068
0.055591 -0.139975 0.165824
0.055335 -0.140226 0.164759
0.055007 -0.140260 0.163524
