256 192
0.193658 0.353572 0.567553
0.193264 0.350010 0.566459
0.195091 0.350853 0.572364
0.195649 0.349143 0.574268
0.194937 0.344942 0.572173
0.194701 0.341680 0.571578
0.194783 0.339031 0.571982
0.194705 0.336075 0.571887
0.194786 0.333418 0.572291
0.194709 0.330460 0.572196
0.194632 0.327501 0.572100
0.194555 0.324543 0.572005
0.194319 0.321297 0.571410
0.194084 0.318057 0.570816
0.194007 0.315104 0.570720
0.193930 0.312151 0.570625
0.193853 0.309198 0.570530
0.193776 0.306245 0.570434
0.193856 0.303564 0.570838
0.193621 0.300339 0.570244
0.193702 0.297652 0.570647
0.193624 0.294697 0.570551
0.193547 0.291741 0.570456
0.193470 0.288786 0.570361
0.193393 0.285830 0.570265
0.193315 0.282874 0.570170
0.193238 0.279919 0.570074
0.193004 0.276715 0.569481
0.192927 0.273762 0.569386
0.192850 0.270809 0.569291
0.193243 0.268577 0.570688
0.194106 0.267043 0.573578
0.195124 0.265713 0.576963
0.194889 0.262486 0.576369
0.194968 0.259723 0.576770
0.194889 0.256728 0.576673
0.194498 0.253284 0.575582
0.193952 0.249628 0.573995
0.193717 0.246426 0.573402
0.193796 0.243664 0.573803
0.193718 0.240682 0.573706
0.193796 0.237912 0.574107
0.194186 0.235554 0.575500
0.194887 0.233594 0.577886
0.196366 0.232625 0.582753
0.196910 0.230398 0.584640
0.196052 0.226363 0.582061
0.195040 0.222159 0.578986
0.194494 0.218566 0.577401
0.193949 0.214989 0.575816
0.193405 0.211428 0.574232
0.192861 0.207882 0.572648
0.192317 0.204352 0.571064
0.191774 0.200838 0.569481
0.190766 0.196807 0.566412
0.190069 0.193157 0.564335
0.189837 0.190045 0.563745
0.190070 0.187447 0.564641
0.190148 0.184671 0.565041
0.190071 0.181726 0.564946
0.189840 0.178619 0.564356
0.189608 0.175518 0.563766
0.189377 0.172422 0.563176
0.189300 0.169484 0.563081
0.189841 0.167152 0.564965
0.190227 0.164650 0.566354
0.190458 0.161986 0.567248
0.191152 0.159742 0.569624
0.191691 0.157331 0.571506
0.191921 0.154623 0.572398
0.191843 0.151633 0.572302
0.191457 0.148377 0.571217
0.191379 0.145393 0.571121
0.191455 0.142536 0.571518
0.191377 0.139549 0.571422
0.191299 0.136562 0.571325
0.191067 0.133455 0.570735
0.190682 0.130236 0.569652
0.190604 0.127257 0.569556
0.190373 0.124166 0.568966
0.190295 0.121190 0.568870
0.190217 0.118213 0.568774
0.190140 0.115236 0.568678
0.190062 0.112260 0.568582
0.189984 0.109283 0.568486
0.189906 0.106306 0.568389
0.189676 0.103236 0.567801
0.189445 0.100172 0.567212
0.189215 0.097112 0.566623
0.188985 0.094058 0.566035
0.188754 0.091009 0.565447
0.188830 0.088125 0.565843
0.189057 0.085315 0.566732
0.189132 0.082418 0.567129
0.189207 0.079517 0.567525
0.189129 0.076540 0.567429
0.188747 0.073429 0.566349
0.188517 0.070393 0.565761
0.188135 0.067301 0.564681
0.187906 0.064278 0.564094
0.187676 0.061260 0.563507
0.187599 0.058302 0.563411
0.187674 0.055395 0.563807
0.187596 0.052434 0.563712
0.187671 0.049520 0.564107
0.187593 0.046556 0.564012
0.187516 0.043593 0.563916
0.187287 0.040591 0.563329
0.187058 0.037594 0.562743
0.187132 0.034669 0.563138
0.187055 0.031708 0.563043
0.187129 0.028775 0.563438
0.187051 0.025812 0.563342
0.186974 0.022848 0.563247
0.187349 0.019945 0.564622
0.186970 0.016939 0.563546
0.186138 0.013899 0.560998
0.185156 0.010874 0.557962
0.184175 0.007880 0.554926
0.183195 0.004917 0.551892
0.182517 0.001994 0.549838
0.181689 -0.000909 0.547295
0.181012 -0.003787 0.545243
0.180485 -0.006647 0.543681
0.180260 -0.009505 0.543099
0.180035 -0.012357 0.542517
0.179810 -0.015204 0.541935
0.179736 -0.018060 0.541843
0.179661 -0.020916 0.541751
0.179737 -0.023791 0.542148
0.179812 -0.026672 0.542545
0.179887 -0.029557 0.542942
0.179812 -0.032421 0.542849
0.180186 -0.035374 0.544223
0.181009 -0.038441 0.547063
0.181382 -0.041434 0.548436
0.181307 -0.044329 0.548343
0.181380 -0.047265 0.548738
0.180409 -0.049905 0.545714
0.177199 -0.051828 0.535365
0.171306 -0.052772 0.516232
0.149162 -0.047963 0.443892
0.136654 -0.045829 0.403060
0.133022 -0.046598 0.391280
0.130065 -0.047506 0.381699
0.128375 -0.048833 0.376268
0.127579 -0.050487 0.373765
0.127007 -0.052215 0.371995
0.126287 -0.053854 0.369738
0.125494 -0.055435 0.367238
0.124849 -0.057063 0.365226
0.124057 -0.058594 0.362727
0.121930 -0.059380 0.355844
0.119137 -0.059722 0.346771
0.116718 -0.060179 0.338919
0.113930 -0.060333 0.329853
0.110923 -0.060255 0.320059
0.108437 -0.060396 0.311972
0.106026 -0.060499 0.304131
0.103988 -0.060764 0.297510
0.102100 -0.061058 0.291378
0.100213 -0.061286 0.285248
0.098475 -0.061555 0.279606
0.096740 -0.061764 0.273966
0.095005 -0.061912 0.268328
0.093420 -0.062114 0.263179
0.091726 -0.062173 0.257666
0.090475 -0.062531 0.253613
0.089189 -0.062815 0.249441
0.088014 -0.063147 0.245634
0.086693 -0.063312 0.241343
0.085337 -0.063399 0.236931
0.084239 -0.063669 0.233371
0.083031 -0.063801 0.229448
0.081972 -0.064028 0.226012
0.080841 -0.064148 0.222335
0.079710 -0.064229 0.218658
0.078580 -0.064271 0.214983
0.077525 -0.064347 0.211552
0.076434 -0.064348 0.208001
0.075491 -0.064465 0.204936
0.074475 -0.064471 0.201629
0.073606 -0.064601 0.198808
0.072702 -0.064659 0.195867
0.071872 -0.064769 0.193170
0.070932 -0.064724 0.190110
0.070067 -0.064731 0.187293
0.069239 -0.064751 0.184598
0.068302 -0.064611 0.181542
0.067621 -0.064749 0.179333
0.066650 -0.064503 0.176157
0.065898 -0.064497 0.173708
0.065219 -0.064556 0.171502
0.064468 -0.064499 0.169055
0.063718 -0.064415 0.166608
0.063041 -0.064401 0.164404
0.062329 -0.064314 0.162080
0.061835 -0.064500 0.160483
0.061196 -0.064468 0.158402
0.060594 -0.064465 0.156443
0.060029 -0.064492 0.154605
0.059465 -0.064499 0.152768
0.058829 -0.064381 0.150690
0.058338 -0.064454 0.149095
0.057775 -0.064403 0.147260
0.057212 -0.064331 0.145426
0.056831 -0.064517 0.144195
0.056342 -0.064521 0.142603
0.056106 -0.064906 0.141856
0.055799 -0.065168 0.140868
0.055563 -0.065535 0.140121
0.055148 -0.065601 0.138772
0.054733 -0.065652 0.137423
0.054282 -0.065630 0.135955
0.053904 -0.065712 0.134727
0.053562 -0.065843 0.133621
0.053292 -0.066086 0.132756
0.052897 -0.066101 0.131470
0.052466 -0.066039 0.130063
0.052107 -0.066089 0.128899
0.051767 -0.066159 0.127794
0.051391 -0.066152 0.126570
0.050943 -0.066001 0.125105
0.050640 -0.066099 0.124122
0.050408 -0.066322 0.123380
0.049980 -0.066163 0.121977
0.049838 -0.066538 0.121537
0.049393 -0.066320 0.120074
0.048965 -0.066121 0.118672
0.048574 -0.065977 0.117391
0.048201 -0.065856 0.116171
0.047810 -0.065685 0.114890
0.047367 -0.065392 0.113430
0.046923 -0.065083 0.111971
0.046498 -0.064795 0.110572
0.046038 -0.064418 0.109053
0.045845 -0.064587 0.108435
0.045475 -0.064371 0.107218
0.045229 -0.064410 0.106421
0.045180 -0.064863 0.106284
0.045148 -0.065354 0.106206
0.045063 -0.065727 0.105949
0.044961 -0.066058 0.105633
0.044503 -0.065589 0.104117
0.043885 -0.064742 0.102063
0.043268 -0.063873 0.100009
0.042759 -0.063226 0.098315
0.042303 -0.062684 0.096802
0.041794 -0.062002 0.095110
0.041144 -0.060966 0.092939
0.040105 -0.058981 0.089452
0.038695 -0.056066 0.084709
0.037782 -0.054296 0.081643
0.035190 -0.048398 0.072894
0.036206 -0.051266 0.076353
0.041690 -0.065245 0.094944
0.191855 0.353620 0.567540
0.190208 0.347524 0.562445
0.191231 0.346819 0.565851
0.192254 0.346077 0.569255
0.192648 0.344064 0.570660
0.192571 0.341116 0.570565
0.192494 0.338168 0.570470
0.192573 0.335521 0.570874
0.192653 0.332869 0.571278
0.192576 0.329916 0.571183
0.192499 0.326963 0.571088
0.192578 0.324301 0.571492
0.192344 0.321057 0.570897
0.192267 0.318104 0.570802
0.192346 0.315434 0.571205
0.192113 0.312198 0.570611
0.192192 0.309523 0.571015
0.192115 0.306567 0.570919
0.192037 0.303612 0.570824
0.192116 0.300925 0.571227
0.192039 0.297967 0.571131
0.191961 0.295009 0.571036
0.191884 0.292051 0.570940
0.191807 0.289092 0.570845
0.191730 0.286134 0.570749
0.191497 0.282922 0.570156
0.191420 0.279967 0.570061
0.191342 0.277011 0.569965
0.191420 0.274301 0.570367
0.191343 0.271343 0.570272
0.191111 0.268144 0.569679
0.190413 0.264237 0.567594
0.189871 0.260586 0.566006
0.189950 0.257882 0.566409
0.190492 0.255862 0.568303
0.190879 0.253594 0.569699
0.191112 0.251085 0.570598
0.191034 0.248121 0.570502
0.191111 0.245377 0.570903
0.191034 0.242411 0.570808
0.191111 0.239659 0.571209
0.191033 0.236691 0.571113
0.190956 0.233722 0.571017
0.190570 0.230340 0.569928
0.190338 0.227173 0.569336
0.191031 0.225218 0.571722
0.191570 0.223038 0.573611
0.190876 0.219270 0.571530
0.190029 0.215330 0.568954
0.189336 0.211606 0.566874
0.188951 0.208280 0.565787
0.188721 0.205150 0.565197
0.188490 0.202024 0.564606
0.188260 0.198904 0.564015
0.188183 0.195967 0.563921
0.188106 0.193030 0.563826
0.188183 0.190265 0.564226
0.188260 0.187495 0.564627
0.188183 0.184552 0.564532
0.188259 0.181774 0.564932
0.188029 0.178667 0.564342
0.187952 0.175725 0.564247
0.187722 0.172626 0.563657
0.187798 0.169840 0.564057
0.187721 0.166897 0.563962
0.187645 0.163955 0.563867
0.187873 0.161304 0.564761
0.187949 0.158500 0.565160
0.188177 0.155831 0.566054
0.188404 0.153152 0.566947
0.188479 0.150326 0.567346
0.188554 0.147496 0.567744
0.188934 0.144920 0.569130
0.188856 0.141946 0.569034
0.188930 0.139097 0.569432
