256 192
0.004800 0.309339 0.195260
-0.005771 0.296550 0.180118
-0.002003 0.299805 0.185611
-0.000650 0.300344 0.187629
-0.004632 0.295046 0.181960
-0.006347 0.292265 0.179554
-0.006309 0.291394 0.179677
-0.006197 0.290600 0.179904
-0.005575 0.290343 0.180870
-0.005536 0.289463 0.180992
-0.006082 0.287975 0.180271
-0.006481 0.286646 0.179761
-0.006952 0.285250 0.179146
-0.007060 0.284230 0.179057
-0.007094 0.283285 0.179074
-0.006691 0.282776 0.179724
-0.006798 0.281755 0.179635
-0.006687 0.280949 0.179863
-0.006503 0.280211 0.180197
-0.006392 0.279400 0.180425
-0.006281 0.278586 0.180653
-0.006243 0.277700 0.180775
-0.006205 0.276814 0.180898
-0.005877 0.276195 0.181443
-0.005911 0.275237 0.181460
-0.005874 0.274344 0.181583
-0.006053 0.273254 0.181389
-0.005798 0.272556 0.181828
-0.005688 0.271724 0.182057
-0.005723 0.270762 0.182074
-0.005612 0.269926 0.182302
-0.005358 0.269212 0.182742
-0.005610 0.268061 0.182442
-0.005645 0.267098 0.182460
-0.005607 0.266194 0.182582
-0.005859 0.265051 0.182283
-0.005749 0.264207 0.182511
-0.005857 0.263184 0.182423
-0.006036 0.262106 0.182229
-0.005999 0.261201 0.182351
-0.006323 0.260012 0.181946
-0.006285 0.259109 0.182069
-0.006536 0.257982 0.181769
-0.006716 0.256914 0.181574
-0.006967 0.255795 0.181274
-0.006713 0.255053 0.181714
-0.006603 0.254201 0.181943
-0.006638 0.253241 0.181960
-0.006601 0.252334 0.182083
-0.006347 0.251577 0.182524
-0.006166 0.250765 0.182858
-0.006273 0.249751 0.182770
-0.006092 0.248934 0.183105
-0.006271 0.247872 0.182910
-0.006162 0.247002 0.183139
-0.006197 0.246037 0.183156
-0.006304 0.245025 0.183068
-0.006411 0.244014 0.182979
-0.006374 0.243095 0.183102
-0.006265 0.242218 0.183332
-0.006228 0.241296 0.183455
-0.006264 0.240329 0.183472
-0.006299 0.239362 0.183489
-0.006334 0.238395 0.183507
-0.006154 0.237552 0.183842
-0.005974 0.236704 0.184177
-0.006295 0.235574 0.183771
-0.006187 0.234684 0.184000
-0.006366 0.233638 0.183805
-0.006615 0.232556 0.183504
-0.006150 0.231850 0.184264
-0.006471 0.230733 0.183857
-0.007006 0.229513 0.183132
-0.007041 0.228549 0.183149
-0.006790 0.227724 0.183591
-0.007040 0.226656 0.183290
