256 192
0.156650 0.101211 0.509452
0.157771 0.100946 0.512643
0.157327 0.099112 0.510823
0.158448 0.098805 0.514001
0.156180 0.095232 0.506363
0.155476 0.093193 0.503725
0.155901 0.092221 0.504685
0.156240 0.091156 0.505366
0.156752 0.090238 0.506595
0.157004 0.089075 0.506994
0.157255 0.087904 0.507390
0.157420 0.086652 0.507510
0.157498 0.085322 0.507355
0.157663 0.084061 0.507472
0.157741 0.082724 0.507314
0.157645 0.081247 0.506610
0.157809 0.079976 0.506724
0.157713 0.078500 0.506020
0.157618 0.077026 0.505317
0.157782 0.075747 0.505429
0.157860 0.074401 0.505268
0.158024 0.073114 0.505377
0.158189 0.071823 0.505485
0.158267 0.070466 0.505322
0.158431 0.069166 0.505427
0.158509 0.067804 0.505261
0.158500 0.066383 0.504826
0.158664 0.065072 0.504928
0.158828 0.063755 0.505028
0.158819 0.062330 0.504591
0.159157 0.061108 0.505224
0.159754 0.060025 0.506654
0.159659 0.058537 0.505947
0.159649 0.057100 0.505506
0.159900 0.055800 0.505863
0.159804 0.054313 0.505156
0.159795 0.052873 0.504715
0.159786 0.051433 0.504274
0.159950 0.050074 0.504362
0.159941 0.048632 0.503920
0.160105 0.047266 0.504005
0.159576 0.045597 0.501983
0.158960 0.043906 0.499703
0.158691 0.042372 0.498479
0.159462 0.041249 0.500400
0.159712 0.039910 0.500745
0.159876 0.038532 0.500826
0.160473 0.037299 0.502210
0.160896 0.035991 0.503068
0.160800 0.034506 0.502362
0.160618 0.032997 0.501396
0.160522 0.031518 0.500692
0.160772 0.030137 0.501024
0.160590 0.028635 0.500060
0.160494 0.027160 0.499357
0.160571 0.025728 0.499170
0.160994 0.024368 0.500012
0.160639 0.022837 0.498536
0.161149 0.021481 0.499631
0.161658 0.020109 0.500721
0.162167 0.018723 0.501807
0.162072 0.017233 0.501099
0.162062 0.015757 0.500647
0.162226 0.014301 0.500704
0.162907 0.012895 0.502287
0.163071 0.011422 0.502339
0.162888 0.009918 0.501375
0.162361 0.008398 0.499399
0.162092 0.006904 0.498187
0.162428 0.005439 0.498745
0.162505 0.003958 0.498543
0.162668 0.002475 0.498592
0.162831 0.000988 0.498640
0.162649 -0.000497 0.497682
0.162985 -0.001996 0.498230
0.163580 -0.003518 0.499525
0.164002 -0.005047 0.500316
0.163992 -0.006552 0.499854
0.164328 -0.008091 0.500390
0.164663 -0.009640 0.500923
0.164913 -0.011187 0.501204
0.165421 -0.012778 0.502227
0.165756 -0.014357 0.502750
0.165919 -0.015918 0.502775
0.165823 -0.017436 0.502058
0.165813 -0.018969 0.501589
0.165889 -0.020519 0.501366
0.165793 -0.022034 0.500650
0.165783 -0.023567 0.500181
0.165946 -0.025143 0.500201
0.165850 -0.026655 0.499486
0.165926 -0.028214 0.499261
0.166003 -0.029774 0.499034
0.166251 -0.031391 0.499294
0.166414 -0.032987 0.499309
0.166663 -0.034617 0.499565
0.166911 -0.036255 0.499818
0.166901 -0.037805 0.499344
0.166633 -0.039256 0.498144
0.166709 -0.040836 0.497912
0.166958 -0.042490 0.498160
0.167120 -0.044114 0.498166
0.166938 -0.045593 0.497210
0.166239 -0.046831 0.494817
0.165454 -0.048010 0.492191
0.164928 -0.049292 0.490288
0.164488 -0.050601 0.488628
0.164392 -0.052073 0.487926
0.164726 -0.053770 0.488413
0.164889 -0.055383 0.488422
0.164965 -0.056954 0.488193
0.164955 -0.058478 0.487726
0.165118 -0.060102 0.487732
