256 192
-0.370822 -0.618596 0.067900
-0.373888 -0.625807 0.069093
-0.368836 -0.621479 0.069452
-0.366605 -0.621165 0.070102
-0.363687 -0.619848 0.070673
-0.362150 -0.620537 0.071399
-0.360266 -0.620724 0.072087
-0.358549 -0.621162 0.072797
-0.356826 -0.621600 0.073508
-0.354766 -0.621536 0.074178
-0.352706 -0.621473 0.074848
-0.350646 -0.621409 0.075518
-0.348586 -0.621346 0.076188
-0.346526 -0.621282 0.076857
-0.344466 -0.621219 0.077527
-0.342406 -0.621155 0.078197
-0.340660 -0.621592 0.078916
-0.338598 -0.621529 0.079586
-0.336844 -0.621966 0.080307
-0.334779 -0.621902 0.080979
-0.332714 -0.621838 0.081650
-0.330649 -0.621775 0.082322
-0.328734 -0.621961 0.083020
-0.326667 -0.621897 0.083692
-0.324748 -0.622083 0.084392
-0.322680 -0.622020 0.085064
-0.320613 -0.621956 0.085736
-0.318688 -0.622142 0.086437
-0.316619 -0.622078 0.087110
-0.314691 -0.622264 0.087813
-0.312621 -0.622200 0.088486
-0.310551 -0.622137 0.089159
-0.308481 -0.622073 0.089832
-0.306546 -0.622258 0.090536
-0.304475 -0.622195 0.091210
-0.302404 -0.622131 0.091883
-0.300332 -0.622067 0.092557
-0.298391 -0.622252 0.093264
-0.296319 -0.622189 0.093937
-0.294374 -0.622374 0.094645
-0.292300 -0.622310 0.095320
-0.290226 -0.622246 0.095994
-0.288276 -0.622431 0.096703
-0.286201 -0.622367 0.097378
-0.284126 -0.622303 0.098053
-0.282051 -0.622239 0.098728
-0.279976 -0.622175 0.099402
-0.278018 -0.622361 0.100114
-0.275942 -0.622297 0.100790
-0.273865 -0.622232 0.101465
-0.272017 -0.622666 0.102217
-0.269938 -0.622602 0.102893
-0.267970 -0.622787 0.103608
-0.265890 -0.622723 0.104284
-0.263919 -0.622908 0.105001
-0.261837 -0.622843 0.105678
-0.259756 -0.622779 0.106355
-0.257780 -0.622964 0.107073
-0.255697 -0.622899 0.107750
-0.253511 -0.622587 0.108385
-0.251430 -0.622522 0.109062
-0.249348 -0.622458 0.109739
-0.247366 -0.622643 0.110459
-0.245283 -0.622578 0.111136
-0.243296 -0.622762 0.111857
-0.241307 -0.622947 0.112580
-0.239316 -0.623131 0.113303
-0.237229 -0.623066 0.113981
-0.235143 -0.623002 0.114660
-0.233146 -0.623186 0.115384
-0.231058 -0.623121 0.116063
-0.228883 -0.622809 0.116695
-0.226796 -0.622745 0.117374
-0.224710 -0.622680 0.118052
-0.222707 -0.622864 0.118779
-0.220701 -0.623047 0.119506
-0.218612 -0.622983 0.120186
-0.216523 -0.622919 0.120865
-0.214434 -0.622854 0.121544
-0.212345 -0.622790 0.122224
-0.210331 -0.622973 0.122954
-0.208241 -0.622909 0.123633
-0.206224 -0.623092 0.124365
-0.204133 -0.623027 0.125045
-0.202112 -0.623211 0.125777
-0.200019 -0.623146 0.126458
-0.197858 -0.622834 0.127085
-0.195833 -0.623017 0.127819
-0.193806 -0.623200 0.128553
-0.191841 -0.623630 0.129343
-0.189744 -0.623565 0.130025
-0.187710 -0.623748 0.130762
-0.185551 -0.623436 0.131389
-0.183454 -0.623372 0.132070
-0.181357 -0.623307 0.132752
-0.179261 -0.623242 0.133434
-0.177164 -0.623178 0.134116
-0.175067 -0.623113 0.134797
-0.172971 -0.623048 0.135479
-0.170822 -0.622737 0.136102
-0.168726 -0.622672 0.136784
-0.166631 -0.622607 0.137465
-0.164584 -0.622790 0.138206
-0.162487 -0.622725 0.138888
-0.160390 -0.622660 0.139570
-0.158293 -0.622596 0.140251
-0.156197 -0.622531 0.140933
-0.154100 -0.622466 0.141615
-0.152003 -0.622402 0.142297
-0.149946 -0.622584 0.143041
-0.147848 -0.622519 0.143723
-0.145786 -0.622701 0.144469
-0.143687 -0.622636 0.145152
-0.141588 -0.622571 0.145834
-0.139456 -0.622260 0.146452
-0.137326 -0.621949 0.147069
-0.135229 -0.621885 0.147751
-0.133162 -0.622066 0.148499
-0.131064 -0.622002 0.149181
-0.128992 -0.622183 0.149930
-0.126893 -0.622118 0.150612
-0.124818 -0.622300 0.151363
-0.122717 -0.622235 0.152046
-0.120617 -0.622170 0.152729
-0.118516 -0.622106 0.153412
-0.116416 -0.622041 0.154095
-0.114315 -0.621976 0.154778
-0.112231 -0.622157 0.155531
-0.110129 -0.622092 0.156214
-0.108041 -0.622273 0.156969
-0.105951 -0.622454 0.157724
-0.103858 -0.622635 0.158480
-0.101753 -0.622570 0.159164
-0.099647 -0.622505 0.159849
-0.097541 -0.622441 0.160534
-0.095442 -0.622621 0.161292
-0.093340 -0.622802 0.162051
-0.091236 -0.622982 0.162810
-0.089129 -0.623163 0.163571
-0.087019 -0.623098 0.164257
-0.084908 -0.623033 0.164944
-0.082797 -0.622968 0.165630
-0.080687 -0.622903 0.166316
-0.078568 -0.623328 0.167156
-0.076450 -0.623508 0.167920
-0.074336 -0.623443 0.168608
-0.072221 -0.623378 0.169295
-0.070107 -0.623313 0.169983
-0.067982 -0.623492 0.170749
-0.065866 -0.623427 0.171437
-0.063751 -0.623362 0.172125
-0.061635 -0.623297 0.172813
-0.059519 -0.623231 0.173501
-0.057387 -0.623411 0.174270
-0.055270 -0.623346 0.174958
-0.053153 -0.623281 0.175646
-0.051036 -0.623215 0.176335
-0.048919 -0.623150 0.177023
-0.046779 -0.623330 0.177794
-0.044637 -0.623509 0.178566
-0.042492 -0.623688 0.179339
-0.040398 -0.623378 0.179945
-0.038306 -0.623068 0.180549
-0.036188 -0.623003 0.181238
-0.034070 -0.622938 0.181927
-0.031951 -0.622872 0.182616
-0.029866 -0.622563 0.183218
-0.027749 -0.622497 0.183906
-0.025632 -0.622432 0.184595
-0.023515 -0.622367 0.185283
-0.021398 -0.622302 0.185972
-0.019281 -0.622236 0.186660
-0.017164 -0.622171 0.187348
-0.015089 -0.621862 0.187947
-0.013016 -0.621552 0.188546
-0.010901 -0.621487 0.189233
-0.008787 -0.621422 0.189921
-0.006626 -0.621601 0.190699
-0.004510 -0.621535 0.191387
-0.002394 -0.621470 0.192075
-0.000228 -0.621649 0.192855
0.001941 -0.621827 0.193636
0.004166 -0.622250 0.194510
0.006341 -0.622428 0.195293
0.008519 -0.622606 0.196077
0.010642 -0.622541 0.196767
0.012765 -0.622475 0.197457
0.014889 -0.622410 0.198148
0.017012 -0.622344 0.198838
0.019073 -0.622035 0.199433
0.021132 -0.621726 0.200027
0.023189 -0.621418 0.200620
0.025308 -0.621352 0.201309
0.027428 -0.621287 0.201998
0.029547 -0.621221 0.202687
0.031667 -0.621156 0.203377
0.033786 -0.621091 0.204066
0.035978 -0.621269 0.204854
0.038172 -0.621446 0.205643
0.040294 -0.621381 0.206333
0.042416 -0.621316 0.207023
0.044616 -0.621493 0.207813
0.046818 -0.621671 0.208605
0.049022 -0.621848 0.209397
0.051148 -0.621783 0.210088
0.053356 -0.621960 0.210882
0.055483 -0.621894 0.211574
0.057610 -0.621829 0.212265
0.059737 -0.621763 0.212957
0.061865 -0.621698 0.213649
0.063992 -0.621632 0.214340
0.066119 -0.621566 0.215032
0.068246 -0.621501 0.215723
0.070281 -0.621193 0.216310
0.072313 -0.620885 0.216895
0.074438 -0.620819 0.217586
0.076755 -0.621238 0.218490
0.078979 -0.621415 0.219289
0.081108 -0.621350 0.219981
0.083236 -0.621284 0.220673
0.085364 -0.621218 0.221365
0.087595 -0.621395 0.222166
0.089725 -0.621329 0.222859
0.091960 -0.621506 0.223661
0.094197 -0.621682 0.224464
0.096329 -0.621617 0.225157
0.098462 -0.621551 0.225850
0.100594 -0.621485 0.226544
0.102726 -0.621419 0.227237
0.104858 -0.621354 0.227930
0.107105 -0.621530 0.228736
0.109353 -0.621706 0.229543
0.111488 -0.621640 0.230237
0.113740 -0.621816 0.231045
0.115757 -0.621508 0.231625
0.117892 -0.621443 0.232319
0.119905 -0.621135 0.232898
0.122039 -0.621069 0.233592
0.124172 -0.621004 0.234286
0.126431 -0.621179 0.235096
0.128566 -0.621113 0.235790
0.130701 -0.621048 0.236484
0.132706 -0.620740 0.237060
0.134970 -0.620916 0.237872
0.137105 -0.620850 0.238566
0.139240 -0.620784 0.239260
0.141374 -0.620719 0.239954
0.143374 -0.620411 0.240529
0.145507 -0.620346 0.241223
0.147503 -0.620039 0.241796
0.149496 -0.619732 0.242368
0.151627 -0.619666 0.243061
0.154183 -0.620324 0.244119
0.157463 -0.622186 0.245790
0.158741 -0.620674 0.245752
0.157820 -0.615548 0.243867
-0.373603 -0.623079 0.066951
-0.369076 -0.619503 0.067378
-0.370347 -0.624205 0.068383
-0.367408 -0.622888 0.068965
-0.364999 -0.622322 0.069599
-0.362936 -0.622259 0.070270
-0.360704 -0.621945 0.070921
-0.358811 -0.622132 0.071611
-0.356916 -0.622319 0.072302
-0.355018 -0.622505 0.072994
-0.353117 -0.622692 0.073686
-0.350888 -0.622378 0.074337
-0.348661 -0.622064 0.074986
-0.346597 -0.622000 0.075657
-0.344533 -0.621937 0.076328
-0.342627 -0.622123 0.077022
-0.340719 -0.622310 0.077718
