256 192
0.232081 -0.334915 -0.160104
0.218756 -0.313888 -0.151206
0.221206 -0.321418 -0.153810
0.220304 -0.322883 -0.153971
0.218711 -0.323084 -0.153625
0.216848 -0.322780 -0.153078
0.214855 -0.322224 -0.152431
0.212604 -0.321163 -0.151586
0.210493 -0.320355 -0.150843
0.208133 -0.319042 -0.149904
0.206040 -0.318234 -0.149166
0.204334 -0.318183 -0.148725
0.202877 -0.318637 -0.148480
0.201540 -0.319343 -0.148331
0.199949 -0.319545 -0.147985
0.198477 -0.319998 -0.147736
0.196881 -0.320199 -0.147389
0.194807 -0.319392 -0.146656
0.193445 -0.320097 -0.146500
0.191611 -0.319794 -0.145961
0.189436 -0.318736 -0.145135
0.187497 -0.318181 -0.144503
0.185452 -0.317374 -0.143776
0.183303 -0.316316 -0.142958
0.181383 -0.315762 -0.142330
0.179361 -0.314957 -0.141610
0.177346 -0.314151 -0.140892
0.175444 -0.313598 -0.140269
0.173652 -0.313296 -0.139740
0.171863 -0.312994 -0.139212
0.170178 -0.312944 -0.138776
0.168695 -0.313397 -0.138524
0.167406 -0.314353 -0.138453
0.165812 -0.314555 -0.138107
0.163730 -0.313499 -0.137306
0.161851 -0.312946 -0.136688
0.160259 -0.313147 -0.136342
0.158479 -0.312846 -0.135816
0.156425 -0.311790 -0.135023
0.154563 -0.311238 -0.134410
0.152796 -0.310937 -0.133887
0.151207 -0.311139 -0.133542
0.149442 -0.310838 -0.133020
0.147765 -0.310788 -0.132586
0.145835 -0.309985 -0.131890
0.143996 -0.309433 -0.131283
0.142244 -0.309133 -0.130764
0.140494 -0.308832 -0.130246
0.138509 -0.307779 -0.129470
0.136691 -0.307228 -0.128869
0.134954 -0.306928 -0.128354
0.133219 -0.306628 -0.127840
0.131413 -0.306077 -0.127241
0.129540 -0.305276 -0.126560
0.127674 -0.304475 -0.125880
0.125956 -0.304175 -0.125370
0.124172 -0.303625 -0.124777
0.122663 -0.304077 -0.124519
0.121083 -0.304279 -0.124176
0.119435 -0.304230 -0.123750
0.117787 -0.304181 -0.123324
0.116015 -0.303632 -0.122734
0.114431 -0.303833 -0.122390
0.112844 -0.304035 -0.122045
0.111196 -0.303986 -0.121619
0.109549 -0.303937 -0.121193
0.108013 -0.304388 -0.120928
0.106418 -0.304590 -0.120581
0.104820 -0.304791 -0.120233
0.103167 -0.304742 -0.119806
0.101668 -0.305443 -0.119615
0.100061 -0.305644 -0.119265
0.098451 -0.305845 -0.118915
0.096745 -0.305546 -0.118408
0.095133 -0.305746 -0.118057
0.093518 -0.305947 -0.117705
0.091945 -0.306397 -0.117429
0.090366 -0.306848 -0.117152
0.088619 -0.306299 -0.116569
0.086876 -0.305750 -0.115987
0.085331 -0.306450 -0.115785
0.083667 -0.306400 -0.115354
0.082038 -0.306601 -0.114999
0.080372 -0.306551 -0.114568
0.078707 -0.306502 -0.114138
0.077105 -0.306952 -0.113855
0.075529 -0.307650 -0.113644
0.073828 -0.307351 -0.113139
0.072101 -0.306803 -0.112561
0.070433 -0.306754 -0.112129
0.068841 -0.307452 -0.111915
0.067194 -0.307652 -0.111555
0.065544 -0.307851 -0.111194
0.063847 -0.307552 -0.110689
