256 192
-0.411167 0.151556 0.558644
-0.401306 0.148947 0.549348
-0.406612 0.152085 0.561739
-0.404651 0.152479 0.563780
-0.400982 0.152221 0.563356
-0.396985 0.151832 0.562439
-0.393993 0.151835 0.563001
-0.390667 0.151707 0.563070
-0.387341 0.151579 0.563139
-0.383691 0.151321 0.562715
-0.380047 0.151064 0.562290
-0.376726 0.150936 0.562360
-0.373090 0.150679 0.561935
-0.369772 0.150552 0.562004
-0.366143 0.150295 0.561579
-0.362828 0.150168 0.561648
-0.359513 0.150040 0.561717
-0.356197 0.149913 0.561786
-0.352582 0.149656 0.561361
-0.349270 0.149529 0.561430
-0.345957 0.149402 0.561499
-0.342353 0.149146 0.561073
-0.339043 0.149019 0.561142
-0.335446 0.148763 0.560717
-0.332139 0.148636 0.560786
-0.328832 0.148509 0.560854
-0.325524 0.148382 0.560923
-0.322217 0.148255 0.560992
-0.318636 0.148000 0.560566
-0.315062 0.147745 0.560140
-0.311759 0.147618 0.560209
-0.308458 0.147491 0.560277
-0.305156 0.147365 0.560346
-0.301853 0.147238 0.560415
-0.298551 0.147111 0.560483
-0.295249 0.146984 0.560552
-0.291948 0.146857 0.560620
-0.288645 0.146730 0.560689
-0.285097 0.146476 0.560263
-0.281798 0.146350 0.560331
-0.278257 0.146096 0.559905
-0.274961 0.145970 0.559973
-0.271664 0.145843 0.560042
-0.268368 0.145716 0.560110
-0.265071 0.145589 0.560179
-0.261774 0.145463 0.560247
-0.258253 0.145210 0.559820
-0.254959 0.145083 0.559889
-0.251665 0.144957 0.559957
-0.248371 0.144830 0.560025
-0.245077 0.144704 0.560094
-0.241994 0.144703 0.560658
-0.238698 0.144576 0.560726
-0.235195 0.144324 0.560299
-0.231901 0.144197 0.560367
-0.228607 0.144071 0.560436
-0.225114 0.143819 0.560008
-0.221823 0.143693 0.560077
-0.218532 0.143566 0.560145
-0.215240 0.143440 0.560214
-0.211949 0.143313 0.560282
-0.208658 0.143187 0.560350
-0.205366 0.143060 0.560419
-0.202075 0.142934 0.560487
-0.198784 0.142807 0.560555
-0.195318 0.142557 0.560127
-0.192030 0.142431 0.560196
-0.188741 0.142304 0.560264
-0.185452 0.142178 0.560332
-0.182164 0.142051 0.560401
-0.178875 0.141925 0.560469
-0.175586 0.141799 0.560537
-0.172142 0.141549 0.560109
-0.168856 0.141423 0.560177
-0.165570 0.141296 0.560245
-0.162137 0.141047 0.559817
-0.158853 0.140921 0.559885
-0.155570 0.140795 0.559953
-0.152287 0.140669 0.560021
-0.149003 0.140542 0.560089
-0.145586 0.140294 0.559660
-0.142437 0.140290 0.560226
-0.139025 0.140042 0.559797
-0.135744 0.139916 0.559865
-0.132463 0.139789 0.559933
-0.129062 0.139541 0.559504
-0.125784 0.139415 0.559572
-0.122506 0.139289 0.559640
-0.119115 0.139042 0.559210
-0.115840 0.138916 0.559278
-0.112564 0.138790 0.559346
-0.109289 0.138664 0.559414
-0.106014 0.138538 0.559482
-0.102738 0.138412 0.559550
-0.099366 0.138165 0.559120
-0.096094 0.138040 0.559188
-0.092821 0.137914 0.559256
-0.089637 0.137909 0.559822
-0.086276 0.137662 0.559392
-0.083003 0.137537 0.559460
-0.079730 0.137411 0.559528
-0.076380 0.137165 0.559098
-0.073110 0.137039 0.559166
-0.069840 0.136913 0.559234
-0.066570 0.136788 0.559301
-0.063300 0.136662 0.559369
-0.060030 0.136537 0.559437
-0.056760 0.136411 0.559505
-0.053490 0.136285 0.559573
-0.050277 0.136279 0.560140
-0.046950 0.136034 0.559709
-0.043680 0.135908 0.559777
-0.040410 0.135783 0.559845
-0.037094 0.135538 0.559414
-0.033827 0.135412 0.559482
-0.030559 0.135287 0.559549
-0.027292 0.135161 0.559617
-0.024025 0.135036 0.559685
-0.020757 0.134910 0.559753
-0.017490 0.134784 0.559821
-0.014223 0.134659 0.559889
-0.010956 0.134533 0.559957
-0.007666 0.134290 0.559525
-0.004402 0.134164 0.559593
-0.001137 0.134039 0.559661
0.002128 0.133913 0.559728
0.005392 0.133788 0.559796
0.008657 0.133662 0.559864
0.011922 0.133537 0.559932
0.015186 0.133411 0.560000
0.018451 0.133286 0.560068
0.021715 0.133161 0.560135
0.024980 0.133035 0.560203
0.028237 0.132793 0.559771
0.031499 0.132667 0.559839
0.034774 0.132659 0.560407
0.038023 0.132416 0.559974
0.041285 0.132291 0.560042
0.044547 0.132166 0.560110
0.047809 0.132040 0.560177
0.051071 0.131915 0.560245
